[1, -599][DEBUG] 出怪种子: 0x4D8655B8
[1, -599][DEBUG] 阳光: 8000, 快, 0f, SL次数: 0 [14:20]
[1, -599][DEBUG] 阳光: 8325, 慢, 2f, SL次数: 0 [14:20]
[1, -599][DEBUG] 阳光: 8675, 白, 4f, SL次数: 0 [14:20]
[1, -599][DEBUG] 阳光: 8900, 快, 6f, SL次数: 0 [14:20]
[1, -599][DEBUG] 阳光: 9100, 快, 8f, SL次数: 0 [14:20]
[1, -599][DEBUG] 阳光: 9225, 变, 10f, SL次数: 0 [14:20]
[1, -599][DEBUG] 阳光: 9525, 白, 12f, SL次数: 0 [14:20]
[1, -599][DEBUG] 阳光: 9675, 慢, 14f, SL次数: 0 [14:20]
[1, -599][DEBUG] 阳光: 9890, 快, 16f, SL次数: 0 [14:21]
[1, -599][DEBUG] 阳光: 9890, 白, 18f, SL次数: 0 [14:21]
[1, -599][DEBUG] 阳光: 9840, 白, 20f, SL次数: 0 [14:21]
[1, -599][DEBUG] 阳光: 9840, 快, 22f, SL次数: 0 [14:21]
[1, -599][DEBUG] 阳光: 9815, 快, 24f, SL次数: 0 [14:21]
[1, -599][DEBUG] 阳光: 9840, 慢, 26f, SL次数: 0 [14:21]
[1, -599][DEBUG] 阳光: 9840, 变, 28f, SL次数: 0 [14:21]
[1, -599][DEBUG] 阳光: 9740, 快, 30f, SL次数: 0 [14:21]
[1, -599][DEBUG] 阳光: 9890, 快, 32f, SL次数: 0 [14:21]
[1, -599][DEBUG] 阳光: 9815, 慢, 34f, SL次数: 0 [14:21]
[1, -599][DEBUG] 阳光: 9840, 快, 36f, SL次数: 0 [14:21]
[1, -599][DEBUG] 阳光: 9840, 慢, 38f, SL次数: 0 [14:21]
[1, -599][DEBUG] 阳光: 9915, 变, 40f, SL次数: 0 [14:21]
[1, -599][DEBUG] 阳光: 9915, 快, 42f, SL次数: 0 [14:21]
[1, -599][DEBUG] 阳光: 9840, 白, 44f, SL次数: 0 [14:21]
[1, -599][DEBUG] 阳光: 9840, 快, 46f, SL次数: 0 [14:21]
[1, -599][DEBUG] 阳光: 9840, 快, 48f, SL次数: 0 [14:21]
[1, -599][DEBUG] 阳光: 9865, 白, 50f, SL次数: 0 [14:21]
[1, -599][DEBUG] 阳光: 9890, 快, 52f, SL次数: 0 [14:21]
[1, -599][DEBUG] 阳光: 9815, 白, 54f, SL次数: 0 [14:21]
[1, -599][DEBUG] 阳光: 9840, 白, 56f, SL次数: 0 [14:21]
[1, -599][DEBUG] 阳光: 9865, 慢, 58f, SL次数: 0 [14:21]
[1, -599][DEBUG] 阳光: 9915, 快, 60f, SL次数: 0 [14:21]
[1, -599][DEBUG] 阳光: 9840, 快, 62f, SL次数: 0 [14:21]
[1, -599][DEBUG] 阳光: 9865, 慢, 64f, SL次数: 0 [14:21]
[1, -599][DEBUG] 阳光: 9890, 白, 66f, SL次数: 0 [14:21]
[1, -599][DEBUG] 阳光: 9890, 快, 68f, SL次数: 0 [14:21]
[1, -599][DEBUG] 阳光: 9865, 变, 70f, SL次数: 0 [14:21]
[1, -599][DEBUG] 阳光: 9890, 白, 72f, SL次数: 0 [14:21]
[1, -599][DEBUG] 阳光: 9840, 白, 74f, SL次数: 0 [14:21]
[1, -599][DEBUG] 阳光: 9890, 白, 76f, SL次数: 0 [14:21]
[1, -599][DEBUG] 阳光: 9865, 变, 78f, SL次数: 0 [14:21]
[1, -599][DEBUG] 阳光: 9890, 快, 80f, SL次数: 0 [14:21]
[1, -599][DEBUG] 阳光: 9890, 变, 82f, SL次数: 0 [14:21]
[1, -599][DEBUG] 阳光: 9840, 慢, 84f, SL次数: 0 [14:21]
[1, -599][DEBUG] 阳光: 9740, 快, 86f, SL次数: 0 [14:22]
[1, -599][DEBUG] 阳光: 9840, 白, 88f, SL次数: 0 [14:22]
[1, -599][DEBUG] 阳光: 9840, 慢, 90f, SL次数: 0 [14:22]
[1, -599][DEBUG] 阳光: 9890, 快, 92f, SL次数: 0 [14:22]
[1, -599][DEBUG] 阳光: 9840, 慢, 94f, SL次数: 0 [14:22]
[1, -599][DEBUG] 阳光: 9915, 快, 96f, SL次数: 0 [14:22]
[1, -599][DEBUG] 阳光: 9865, 快, 98f, SL次数: 0 [14:22]
[1, -599][DEBUG] N: [3-9 6 4-9 0] [慢 3 变 2 白 0 快 1]
总: [慢 10 变 6 白 13 快 21] 预计 16:45 完成 10k flags (共 144 min)
[1, -599][DEBUG] 出怪种子: 0x4C6A05E8
[1, -599][DEBUG] 阳光: 9890, 白, 100f, SL次数: 0 [14:22]
[1, -599][DEBUG] 阳光: 9890, 慢, 102f, SL次数: 0 [14:22]
[1, -599][DEBUG] 阳光: 9890, 白, 104f, SL次数: 0 [14:22]
[1, -599][DEBUG] 阳光: 9840, 白, 106f, SL次数: 0 [14:22]
[1, -599][DEBUG] 阳光: 9815, 慢, 108f, SL次数: 0 [14:22]
[1, -599][DEBUG] 阳光: 9815, 变, 110f, SL次数: 0 [14:22]
