[1, -599][DEBUG] 出怪种子: 0x2C771A65
[1, -599][DEBUG] 阳光: 8000, 快, 0f, SL次数: 0 [10:38]
[1, -599][DEBUG] 阳光: 8350, 慢, 2f, SL次数: 0 [10:38]
[1, -599][DEBUG] 阳光: 8550, 白, 4f, SL次数: 0 [10:38]
[1, -599][DEBUG] 阳光: 8625, 变, 6f, SL次数: 0 [10:38]
[1, -599][DEBUG] 阳光: 8750, 变, 8f, SL次数: 0 [10:38]
[1, -599][DEBUG] 阳光: 8875, 快, 10f, SL次数: 0 [10:38]
[1, -599][DEBUG] 阳光: 9075, 白, 12f, SL次数: 0 [10:38]
[1, -599][DEBUG] 阳光: 9150, 白, 14f, SL次数: 0 [10:38]
[1, -599][DEBUG] 阳光: 9200, 白, 16f, SL次数: 0 [10:38]
[1, -599][DEBUG] 阳光: 9250, 变, 18f, SL次数: 0 [10:38]
[1, -599][DEBUG] 阳光: 9400, 变, 20f, SL次数: 0 [10:38]
[1, -599][DEBUG] 阳光: 9500, 白, 22f, SL次数: 0 [10:38]
[1, -599][DEBUG] 阳光: 9575, 慢, 24f, SL次数: 0 [10:38]
[1, -599][DEBUG] 阳光: 9700, 快, 26f, SL次数: 0 [10:39]
[1, -599][DEBUG] 阳光: 9865, 快, 28f, SL次数: 0 [10:39]
[11, 0][WARNING] 第 10 波延迟至 1142cs 时刷新, 预判下一波PP.
[1, -599][DEBUG] 阳光: 9890, 慢, 30f, SL次数: 0 [10:39]
[1, -599][DEBUG] 阳光: 9915, 变, 32f, SL次数: 0 [10:39]
[1, -599][DEBUG] 阳光: 9915, 白, 34f, SL次数: 0 [10:39]
[1, -599][DEBUG] 阳光: 9865, 变, 36f, SL次数: 0 [10:39]
[1, -599][DEBUG] 阳光: 9915, 快, 38f, SL次数: 0 [10:39]
[1, -599][DEBUG] 阳光: 9865, 变, 40f, SL次数: 0 [10:39]
[1, -599][DEBUG] 阳光: 9915, 慢, 42f, SL次数: 0 [10:39]
[1, -599][DEBUG] 阳光: 9915, 变, 44f, SL次数: 0 [10:39]
[1, -599][DEBUG] 阳光: 9890, 变, 46f, SL次数: 0 [10:39]
[1, -599][DEBUG] 阳光: 9890, 慢, 48f, SL次数: 0 [10:39]
