[1, -599][DEBUG] 出怪种子: 0x2F4A177E
[1, -599][DEBUG] 阳光: 8000, 白, 0f, SL次数: 0 [13:53]
[1, -599][DEBUG] 阳光: 8450, 变, 2f, SL次数: 0 [13:53]
[1, -599][DEBUG] 阳光: 8600, 快, 4f, SL次数: 0 [13:53]
[1, -599][DEBUG] 阳光: 8800, 白, 6f, SL次数: 0 [13:53]
[1, -599][DEBUG] 阳光: 9050, 白, 8f, SL次数: 0 [13:53]
[1, -599][DEBUG] 阳光: 9275, 慢, 10f, SL次数: 0 [13:53]
[1, -599][DEBUG] 阳光: 9350, 快, 12f, SL次数: 0 [13:53]
[1, -599][DEBUG] 阳光: 9600, 白, 14f, SL次数: 0 [13:53]
[1, -599][DEBUG] 阳光: 9800, 慢, 16f, SL次数: 0 [13:53]
[1, -599][DEBUG] 阳光: 9865, 白, 18f, SL次数: 0 [13:53]
[1, -599][DEBUG] 阳光: 9865, 变, 20f, SL次数: 0 [13:53]
[1, -599][DEBUG] 阳光: 9815, 变, 22f, SL次数: 0 [13:53]
[1, -599][DEBUG] 阳光: 9840, 白, 24f, SL次数: 0 [13:53]
[1, -599][DEBUG] 阳光: 9890, 白, 26f, SL次数: 0 [13:54]
[1, -599][DEBUG] 阳光: 9865, 变, 28f, SL次数: 0 [13:54]
[1, -599][DEBUG] 阳光: 9815, 白, 30f, SL次数: 0 [13:54]
[1, -599][DEBUG] 阳光: 9865, 白, 32f, SL次数: 0 [13:54]
[1, -599][DEBUG] 阳光: 9890, 白, 34f, SL次数: 0 [13:54]
[1, -599][DEBUG] 阳光: 9865, 变, 36f, SL次数: 0 [13:54]
[1, -599][DEBUG] 阳光: 9915, 慢, 38f, SL次数: 0 [13:54]
[1, -599][DEBUG] 阳光: 9915, 快, 40f, SL次数: 0 [13:54]
[1, -599][DEBUG] 阳光: 9890, 变, 42f, SL次数: 0 [13:54]
[1, -599][DEBUG] 阳光: 9840, 变, 44f, SL次数: 0 [13:54]
[1, -599][DEBUG] 阳光: 9890, 白, 46f, SL次数: 0 [13:54]
[1, -599][DEBUG] 阳光: 9890, 快, 48f, SL次数: 0 [13:54]
[1, -599][DEBUG] 阳光: 9865, 白, 50f, SL次数: 0 [13:54]
[1, -599][DEBUG] 阳光: 9865, 慢, 52f, SL次数: 0 [13:54]
[1, -599][DEBUG] 阳光: 9915, 变, 54f, SL次数: 0 [13:54]
[1, -599][DEBUG] 阳光: 9915, 快, 56f, SL次数: 0 [13:54]
[1, -599][DEBUG] 阳光: 9865, 慢, 58f, SL次数: 0 [13:54]
[1, -599][DEBUG] 阳光: 9840, 白, 60f, SL次数: 0 [13:54]
[1, -599][DEBUG] 阳光: 9890, 变, 62f, SL次数: 0 [13:54]
[1, -599][DEBUG] 阳光: 9840, 慢, 64f, SL次数: 0 [13:54]
[1, -599][DEBUG] 阳光: 9865, 白, 66f, SL次数: 0 [13:54]
[1, -599][DEBUG] 阳光: 9890, 变, 68f, SL次数: 0 [13:54]
[1, -599][DEBUG] 阳光: 9840, 白, 70f, SL次数: 0 [13:54]
[1, -599][DEBUG] 阳光: 9865, 白, 72f, SL次数: 0 [13:54]
[1, -599][DEBUG] 阳光: 9890, 慢, 74f, SL次数: 0 [13:54]
[1, -599][DEBUG] 阳光: 9840, 慢, 76f, SL次数: 0 [13:54]
[1, -599][DEBUG] 阳光: 9915, 慢, 78f, SL次数: 0 [13:54]
[1, -599][DEBUG] 阳光: 9890, 慢, 80f, SL次数: 0 [13:54]
[1, -599][DEBUG] 阳光: 9915, 白, 82f, SL次数: 0 [13:54]
[1, -599][DEBUG] 阳光: 9890, 慢, 84f, SL次数: 0 [13:54]
[1, -599][DEBUG] 阳光: 9915, 白, 86f, SL次数: 0 [13:54]
[1, -599][DEBUG] 阳光: 9890, 白, 88f, SL次数: 0 [13:54]
[1, -599][DEBUG] 阳光: 9865, 慢, 90f, SL次数: 0 [13:54]
[1, -599][DEBUG] 阳光: 9865, 快, 92f, SL次数: 0 [13:54]
[1, -599][DEBUG] 阳光: 9865, 白, 94f, SL次数: 0 [13:54]
[1, -599][DEBUG] 阳光: 9865, 快, 96f, SL次数: 0 [13:54]
[1, -599][DEBUG] 阳光: 9890, 快, 98f, SL次数: 0 [13:55]
[1, -599][DEBUG] N: [3-9 13 4-9 0] [慢 6 变 7 白 0 快 0]
加压a: [慢 0 变 0 白 0 快 0] 加压A: [慢 0 变 0 白 0 快 0] 加压失败: 0
总: [慢 12 变 10 白 20 快 8] 预计 16:13 完成 10k flags (共 139 min)
[1, -599][DEBUG] 出怪种子: 0x91E0A1AF
[1, -599][DEBUG] 阳光: 9890, 变, 100f, SL次数: 0 [13:55]
[1, -599][DEBUG] 阳光: 9840, 白, 102f, SL次数: 0 [13:55]
[1, -599][DEBUG] 阳光: 9890, 变, 104f, SL次数: 0 [13:55]
[1, -599][DEBUG] 阳光: 9840, 变, 106f, SL次数: 0 [13:55]
[1, -599][DEBUG] 阳光: 9840, 慢, 108f, SL次数: 0 [13:55]
[1, -599][DEBUG] 阳光: 9840, 白, 110f, SL次数: 0 [13:55]
[1, -599][DEBUG] 阳光: 9890, 变, 112f, SL次数: 0 [13:55]
[1, -599][DEBUG] 阳光: 9890, 快, 114f, SL次数: 0 [13:55]
[1, -599][DEBUG] 阳光: 9865, 快, 116f, SL次数: 0 [13:55]
[1, -599][DEBUG] 阳光: 9865, 变, 118f, SL次数: 0 [13:55]
[1, -599][DEBUG] 阳光: 9890, 慢, 120f, SL次数: 0 [13:55]
[1, -599][DEBUG] 阳光: 9915, 白, 122f, SL次数: 0 [13:55]
[1, -599][DEBUG] 阳光: 9890, 白, 124f, SL次数: 0 [13:55]
[1, -599][DEBUG] 阳光: 9890, 白, 126f, SL次数: 0 [13:55]
[1, -599][DEBUG] 阳光: 9890, 白, 128f, SL次数: 0 [13:55]
[1, -599][DEBUG] 阳光: 9865, 变, 130f, SL次数: 0 [13:55]
[1, -599][DEBUG] 阳光: 9840, 慢, 132f, SL次数: 0 [13:55]
[1, -599][DEBUG] 阳光: 9840, 慢, 134f, SL次数: 0 [13:55]
[1, -599][DEBUG] 阳光: 9890, 白, 136f, SL次数: 0 [13:55]
[1, -599][DEBUG] 阳光: 9890, 白, 138f, SL次数: 0 [13:55]
[1, -599][DEBUG] 阳光: 9865, 变, 140f, SL次数: 0 [13:55]
[1, -599][DEBUG] 阳光: 9915, 变, 142f, SL次数: 0 [13:55]
[1, -599][DEBUG] 阳光: 9915, 快, 144f, SL次数: 0 [13:55]
[1, -599][DEBUG] 阳光: 9890, 白, 146f, SL次数: 0 [13:55]
[1, -599][DEBUG] 阳光: 9865, 快, 148f, SL次数: 0 [13:55]
[1, -599][DEBUG] 阳光: 9865, 慢, 150f, SL次数: 0 [13:55]
[1, -599][DEBUG] 阳光: 9915, 白, 152f, SL次数: 0 [13:55]
[1, -599][DEBUG] 阳光: 9890, 快, 154f, SL次数: 0 [13:55]
[1, -599][DEBUG] 阳光: 9865, 快, 156f, SL次数: 0 [13:55]
[1, -599][DEBUG] 阳光: 9890, 白, 158f, SL次数: 0 [13:55]
[1, -599][DEBUG] 阳光: 9890, 白, 160f, SL次数: 0 [13:55]
[1, -599][DEBUG] 阳光: 9865, 快, 162f, SL次数: 0 [13:55]
[1, -599][DEBUG] 阳光: 9865, 变, 164f, SL次数: 0 [13:55]
[1, -599][DEBUG] 阳光: 9840, 白, 166f, SL次数: 0 [13:55]
[1, -599][DEBUG] 阳光: 9890, 白, 168f, SL次数: 0 [13:55]
[1, -599][DEBUG] 阳光: 9865, 慢, 170f, SL次数: 0 [13:56]
[1, -599][DEBUG] 阳光: 9915, 变, 172f, SL次数: 0 [13:56]
[1, -599][DEBUG] 阳光: 9840, 变, 174f, SL次数: 0 [13:56]
[1, -599][DEBUG] 阳光: 9890, 快, 176f, SL次数: 0 [13:56]
[1, -599][DEBUG] 阳光: 9890, 白, 178f, SL次数: 0 [13:56]
[1, -599][DEBUG] 阳光: 9865, 白, 180f, SL次数: 0 [13:56]
[1, -599][DEBUG] 阳光: 9890, 慢, 182f, SL次数: 0 [13:56]
[1, -599][DEBUG] 阳光: 9865, 快, 184f, SL次数: 0 [13:56]
[1, -599][DEBUG] 阳光: 9890, 变, 186f, SL次数: 0 [13:56]
[1, -599][DEBUG] 阳光: 9840, 慢, 188f, SL次数: 0 [13:56]
[1, -599][DEBUG] 阳光: 9840, 变, 190f, SL次数: 0 [13:56]
[1, -599][DEBUG] 阳光: 9840, 白, 192f, SL次数: 0 [13:56]
[1, -599][DEBUG] 阳光: 9890, 白, 194f, SL次数: 0 [13:56]
[1, -599][DEBUG] 阳光: 9890, 快, 196f, SL次数: 0 [13:56]
[1, -599][DEBUG] 阳光: 9865, 白, 198f, SL次数: 0 [13:56]
[1, -599][DEBUG] N: [3-9 25 4-9 0] [慢 10 变 15 白 0 快 0]
加压a: [慢 0 变 1 白 0 快 0] 加压A: [慢 0 变 0 白 0 快 0] 加压失败: 0
