[1, -599][DEBUG] 出怪种子: 0x0D7FA4B1
[1, -599][DEBUG] 阳光: 8000, 快, 0f, SL次数: 0 [17:37]
[1, -599][DEBUG] 阳光: 8900, 白, 2f, SL次数: 0 [17:37]
[1, -599][DEBUG] 阳光: 9475, 白, 4f, SL次数: 0 [17:37]
[1, -599][DEBUG] 阳光: 9990, 变, 6f, SL次数: 0 [17:37]
[1, -599][DEBUG] 阳光: 9990, 变, 8f, SL次数: 0 [17:37]
[1, -599][DEBUG] 阳光: 9990, 快, 10f, SL次数: 0 [17:37]
[1, -599][DEBUG] 阳光: 9890, 快, 12f, SL次数: 0 [17:37]
[1, -599][DEBUG] 阳光: 9990, 白, 14f, SL次数: 0 [17:37]
[1, -599][DEBUG] 阳光: 9990, 慢, 16f, SL次数: 0 [17:37]
[1, -599][DEBUG] 阳光: 9915, 快, 18f, SL次数: 0 [17:37]
[1, -599][DEBUG] 阳光: 9990, 慢, 20f, SL次数: 0 [17:37]
[1, -599][DEBUG] 阳光: 9990, 慢, 22f, SL次数: 0 [17:37]
[1, -599][DEBUG] 阳光: 9990, 变, 24f, SL次数: 0 [17:37]
[1, -599][DEBUG] 阳光: 9990, 快, 26f, SL次数: 0 [17:37]
[1, -599][DEBUG] 阳光: 9890, 变, 28f, SL次数: 0 [17:37]
[1, -599][DEBUG] 阳光: 9940, 白, 30f, SL次数: 0 [17:37]
[1, -599][DEBUG] 阳光: 9990, 白, 32f, SL次数: 0 [17:37]
[1, -599][DEBUG] 阳光: 9990, 快, 34f, SL次数: 0 [17:37]
[1, -599][DEBUG] 阳光: 9915, 快, 36f, SL次数: 0 [17:37]
[1, -599][DEBUG] 阳光: 9990, 变, 38f, SL次数: 0 [17:37]
[1, -599][DEBUG] 阳光: 9940, 白, 40f, SL次数: 0 [17:37]
[1, -599][DEBUG] 阳光: 9915, 变, 42f, SL次数: 0 [17:38]
[1, -599][DEBUG] 阳光: 9990, 白, 44f, SL次数: 0 [17:38]
[1, -599][DEBUG] 阳光: 9990, 快, 46f, SL次数: 0 [17:38]
[1, -599][DEBUG] 阳光: 9915, 快, 48f, SL次数: 0 [17:38]
[1, -599][DEBUG] 阳光: 9990, 快, 50f, SL次数: 0 [17:38]
[1, -599][DEBUG] 阳光: 9990, 变, 52f, SL次数: 0 [17:38]
[1, -599][DEBUG] 阳光: 9990, 白, 54f, SL次数: 0 [17:38]
[1, -599][DEBUG] 阳光: 9840, 变, 56f, SL次数: 0 [17:38]
[1, -599][DEBUG] 阳光: 9990, 慢, 58f, SL次数: 0 [17:38]
[1, -599][DEBUG] 阳光: 9940, 白, 60f, SL次数: 0 [17:38]
[1, -599][DEBUG] 阳光: 9890, 白, 62f, SL次数: 0 [17:38]
[1, -599][DEBUG] 阳光: 9915, 快, 64f, SL次数: 0 [17:38]
[1, -599][DEBUG] 阳光: 9890, 变, 66f, SL次数: 0 [17:38]
[1, -599][DEBUG] 阳光: 9940, 快, 68f, SL次数: 0 [17:38]
[1, -599][DEBUG] 阳光: 9990, 变, 70f, SL次数: 0 [17:38]
[1, -599][DEBUG] 阳光: 9990, 变, 72f, SL次数: 0 [17:38]
[1, -599][DEBUG] 阳光: 9815, 变, 74f, SL次数: 0 [17:38]
[1, -599][DEBUG] 阳光: 9990, 快, 76f, SL次数: 0 [17:38]
[1, -599][DEBUG] 阳光: 9990, 变, 78f, SL次数: 0 [17:38]
[1, -599][DEBUG] 阳光: 9940, 慢, 80f, SL次数: 0 [17:38]
[1, -599][DEBUG] 阳光: 9990, 慢, 82f, SL次数: 0 [17:38]
[1, -599][DEBUG] 阳光: 9990, 慢, 84f, SL次数: 0 [17:38]
[1, -599][DEBUG] 阳光: 9940, 快, 86f, SL次数: 0 [17:39]
[1, -599][DEBUG] 阳光: 9890, 白, 88f, SL次数: 0 [17:39]
[1, -599][DEBUG] 阳光: 9990, 白, 90f, SL次数: 0 [17:39]
[1, -599][DEBUG] 阳光: 9990, 快, 92f, SL次数: 0 [17:39]
[1, -599][DEBUG] 阳光: 9915, 慢, 94f, SL次数: 0 [17:39]
[1, -599][DEBUG] 阳光: 9990, 白, 96f, SL次数: 0 [17:39]
[1, -599][DEBUG] 阳光: 9990, 变, 98f, SL次数: 0 [17:39]
[1, -599][DEBUG] 炮HP={1-5: 300, 2-5: 300, 3-3: 300, 4-3: 300, 5-5: 300, 6-5: 300}
总={变: 14, 快: 15, 慢: 8, 白: 13} 预计 21:22 完成 10k flags (共 225 min)
[1, -599][DEBUG] 出怪种子: 0x6071F42B
[1, -599][DEBUG] 阳光: 9990, 快, 100f, SL次数: 0 [17:39]
[1, -599][DEBUG] 阳光: 9990, 快, 102f, SL次数: 0 [17:39]
[1, -599][DEBUG] 阳光: 9890, 白, 104f, SL次数: 0 [17:39]
[1, -599][DEBUG] 阳光: 9915, 慢, 106f, SL次数: 0 [17:39]
[1, -599][DEBUG] 阳光: 9940, 慢, 108f, SL次数: 0 [17:39]
[1, -599][DEBUG] 阳光: 9990, 慢, 110f, SL次数: 0 [17:39]
[1, -599][DEBUG] 阳光: 9990, 快, 112f, SL次数: 0 [17:39]
[1, -599][DEBUG] 阳光: 9890, 白, 114f, SL次数: 0 [17:39]
[1, -599][DEBUG] 阳光: 9990, 变, 116f, SL次数: 0 [17:39]
[1, -599][DEBUG] 阳光: 9990, 变, 118f, SL次数: 0 [17:39]
[1, -599][DEBUG] 阳光: 9990, 白, 120f, SL次数: 0 [17:39]
[1, -599][DEBUG] 阳光: 9990, 变, 122f, SL次数: 0 [17:39]
[1, -599][DEBUG] 阳光: 9940, 白, 124f, SL次数: 0 [17:39]
[1, -599][DEBUG] 阳光: 9990, 变, 126f, SL次数: 0 [17:39]
[1, -599][DEBUG] 阳光: 9915, 快, 128f, SL次数: 0 [17:40]
[1, -599][DEBUG] 阳光: 9890, 白, 130f, SL次数: 0 [17:40]
[1, -599][DEBUG] 阳光: 9990, 变, 132f, SL次数: 0 [17:40]
[1, -599][DEBUG] 阳光: 9990, 快, 134f, SL次数: 0 [17:40]
[1, -599][DEBUG] 阳光: 9890, 快, 136f, SL次数: 0 [17:40]
[1, -599][DEBUG] 阳光: 9815, 快, 138f, SL次数: 0 [17:40]
[1, -599][DEBUG] 阳光: 9890, 快, 140f, SL次数: 0 [17:40]
[1, -599][DEBUG] 阳光: 9890, 慢, 142f, SL次数: 0 [17:40]
[1, -599][DEBUG] 阳光: 9990, 变, 144f, SL次数: 0 [17:40]
[1, -599][DEBUG] 阳光: 9940, 快, 146f, SL次数: 0 [17:40]
[1, -599][DEBUG] 阳光: 9890, 快, 148f, SL次数: 0 [17:40]
